INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2022-10-01T23:00:00-00:00,2022-10-02T00:00:00-00:00,2022-10-01,17,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,LMP,LMP_PRC,DAVIS_1_N030,ALL,1,59.93632,1
2022-10-02T02:00:00-00:00,2022-10-02T03:00:00-00:00,2022-10-01,20,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,LMP,LMP_PRC,DAVIS_1_N030,ALL,1,78.39029,1
2022-10-01T13:00:00-00:00,2022-10-01T14:00:00-00:00,2022-10-01,7,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,LMP,LMP_PRC,DAVIS_1_N030,ALL,1,68.49446,1
2022-10-01T17:00:00-00:00,2022-10-01T18:00:00-00:00,2022-10-01,11,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,LMP,LMP_PRC,DAVIS_1_N030,ALL,1,42.43776,1
2022-10-02T01:00:00-00:00,2022-10-02T02:00:00-00:00,2022-10-01,19,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,LMP,LMP_PRC,DAVIS_1_N030,ALL,1,84.63924,1
2022-10-02T03:00:00-00:00,2022-10-02T04:00:00-00:00,2022-10-01,21,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,LMP,LMP_PRC,DAVIS_1_N030,ALL,1,75.55313,1
2022-10-01T20:00:00-00:00,2022-10-01T21:00:00-00:00,2022-10-01,14,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,LMP,LMP_PRC,DAVIS_1_N030,ALL,1,47.54318,1
2022-10-01T22:00:00-00:00,2022-10-01T23:00:00-00:00,2022-10-01,16,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,LMP,LMP_PRC,DAVIS_1_N030,ALL,1,57.28662,1
2022-10-01T08:00:00-00:00,2022-10-01T09:00:00-00:00,2022-10-01,2,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,LMP,LMP_PRC,DAVIS_1_N030,ALL,1,63.4348,1
2022-10-01T09:00:00-00:00,2022-10-01T10:00:00-00:00,2022-10-01,3,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,LMP,LMP_PRC,DAVIS_1_N030,ALL,1,61.40706,1
